Id_Sample;Region;Ni_Head;Fe_Head;Mg_Head;Si_Head;Al_Head;Cr_Head;Co_Head;Fe_Mg;Fe_Ni;Fe_Si;Fe_Al;Fe_Cr;Fe_Co;Si_Ni;Si_Mg;Si_Al;Si_Cr;Si_Co;Al_Ni;Al_Mg;Al_Cr;Al_Co;Ni_Mg;Ni_Cr;Ni_Co;Mg_Cr;Mg_Co;Co_Cr;Source
TMS;KBN;0,0221;0,1323;0,1278;0,1953;0,011117647;0,006363158;0,0003;1,035211268;5,986425339;0,677419355;11,9;20,79156328;441;8,837104072;1,528169014;17,56666667;30,69230769;651;0,503060953;0,086992543;1,747190191;37,05882353;0,172926448;3,47311828;73,66666667;426;426;0,047146402;G
TMS;KBN;0,0188;0,149;0,1197;0,186013333;0,011858824;0,007252632;0,0004;1,244778613;7,925531915;0,801017848;12,56448413;20,54426705;372,5;9,894326241;1,553996101;15,68564815;25,64770198;465,0333333;0,630788486;0,099071207;1,635106292;29,64705882;0,157059315;2,592162554;47;299,25;299,25;0,055152395;G
TMS;KBN;0,0191;0,1168;0,12894;0,208553333;0,008258824;0,005610526;0,0002;0,905847681;6,115183246;0,560048589;14,14245014;20,81801126;584;10,91902269;1,617444806;25,25218424;37,17179487;1042,766667;0,432399138;0,064051679;1,472022956;41,29411765;0,148130914;3,404315197;95,5;644,7;644,7;0,03564728;G
TMS;KBN;0,0191;0,1335;0,1215;0,19488;0,011011765;0,006636842;0,0003;1,098765432;6,989528796;0,685036946;12,12339744;20,1149881;445;10,20314136;1,603950617;17,6974359;29,36336241;649,6;0,576532184;0,090631808;1,659187386;36,70588235;0,157201646;2,877874703;63,66666667;405;405;0,04520222;G
TMS;KBN;0,0185;0,154;0,1239;0,18508;0,012388235;0,007594737;0,0004;1,242937853;8,324324324;0,832072617;12,4311491;20,27720028;385;10,00432432;1,493785311;14,93998101;24,36950797;462,7;0,66963434;0,099985757;1,631160572;30,97058824;0,149313963;2,435897436;46,25;309,75;309,75;0,052668053;G
TMS;KBN;0,0192;0,1291;0,12552;0,199686667;0,010905882;0,006431579;0,0003;1,028521351;6,723958333;0,64651287;11,83764833;20,07283142;430,3333333;10,40034722;1,590875292;18,3099964;31,04784506;665,6222222;0,568014706;0,086885615;1,695677289;36,35294118;0,152963671;2,985270049;64;418,4;418,4;0,046644845;G
TMS;KBN;0,0193;0,1437;0,12006;0,1876;0,016041176;0,006910526;0,0003;1,196901549;7,445595855;0,765991471;8,95819582;20,79436405;479;9,720207254;1,562552057;11,69490282;27,14699162;625,3333333;0,83114904;0,133609666;2,321266968;53,47058824;0,160752957;2,792840823;64,33333333;400,2;400,2;0,043412034;G
TMS;KBN;0,0195;0,1568;0,10872;0,193993333;0,013076471;0,007731579;0,0004;1,442236939;8,041025641;0,808275198;11,99100315;20,2804629;392;9,948376068;1,784338975;14,83529765;25,09103699;484,9833333;0,670588235;0,120276587;1,691306611;32,69117647;0,179359823;2,522123894;48,75;271,8;271,8;0,051735875;G
TMS;KBN;0,0194;0,1439;0,12228;0,194366667;0,011488235;0,006978947;0,0004;1,176807327;7,417525773;0,740353284;12,52585765;20,61915535;359,75;10,01890034;1,589521317;16,91875747;27,85042735;485,9166667;0,592177077;0,09395024;1,646127229;28,72058824;0,158652273;2,779788839;48,5;305,7;305,7;0,057315234;G
TMS;KBN;0,0188;0,1447;0,12078;0,188533333;0,014029412;0,007321053;0,0004;1,198046034;7,696808511;0,767503536;10,31404612;19,76491733;361,75;10,02836879;1,56096484;13,43843466;25,75221663;471,3333333;0,746245307;0,116156746;1,916310737;35,07352941;0,15565491;2,567936736;47;301,95;301,95;0,054636952;G
TMS;KBN;0,0191;0,1372;0,12216;0,19922;0,011117647;0,006978947;0,0003;1,123117223;7,183246073;0,688685875;12,34074074;19,65912519;457,3333333;10,43036649;1,63081205;17,91925926;28,54585219;664,0666667;0,582075762;0,091008899;1,593026351;37,05882353;0,156352325;2,736802413;63,66666667;407,2;407,2;0,042986425;G
TMS;KBN;0,0183;0,1301;0,13272;0,198566667;0,010747059;0,006294737;0,0003;0,980259192;7,109289617;0,655195568;12,10563766;20,6680602;433,6666667;10,85063752;1,496132208;18,47637292;31,54487179;661,8888889;0,587270974;0,080975428;1,707308676;35,82352941;0,137884268;2,907190635;61;442,4;442,4;0,047658863;G
TMS;KBN;0,0187;0,1696;0,1146;0,17612;0,0153;0,007936842;0,0006;1,479930192;9,069518717;0,962979787;11,08496732;21,36870027;282,6666667;9,418181818;1,536823735;11,51111111;22,19018568;293,5333333;0,818181818;0,133507853;1,927718833;25,5;0,163176265;2,356100796;31,16666667;191;191;0,075596817;G
TMS;KBN;0,0189;0,1227;0,132;0,198053333;0,009741176;0,006089474;0,0003;0,929545455;6,492063492;0,619530093;12,59601449;20,14952463;409;10,47901235;1,50040404;20,331562;32,52388361;660,1777778;0,515406162;0,073796791;1,599674615;32,47058824;0,143181818;3,103716508;63;440;440;0,049265341;G
TMS;KBN;0,0188;0,1327;0,13326;0,191286667;0,011064706;0,006842105;0,0004;0,995797689;7,058510638;0,693723208;11,99308878;19,39461538;331,75;10,1748227;1,435439492;17,28800284;27,95728205;478,2166667;0,588548185;0,083030961;1,617149321;27,66176471;0,141077593;2,747692308;47;333,15;333,15;0,058461538;G
TMS;KBN;0,0186;0,1428;0,1305;0,1904;0,012335294;0,006978947;0,0004;1,094252874;7,677419355;0,75;11,57653791;20,46153846;357;10,23655914;1,459003831;15,43538388;27,28205128;476;0,663187856;0,094523327;1,767500665;30,83823529;0,142528736;2,665158371;46,5;326,25;326,25;0,057315234;G
