Id_Sample;Region;Ni_Head;Fe_Head;Mg_Head;Si_Head;Al_Head;Cr_Head;Co_Head;Fe_Mg;Fe_Ni;Fe_Si;Fe_Al;Fe_Cr;Fe_Co;Si_Ni;Si_Mg;Si_Al;Si_Cr;Si_Co;Al_Ni;Al_Mg;Al_Cr;Al_Co;Ni_Mg;Ni_Cr;Ni_Co;Mg_Cr;Mg_Co;Co_Cr;Source
TMS;KBN;0,0205;0,2441;0,08214;0,134306667;0,023241176;0,012794737;0,0009;2,971755539;11,90731707;1,817482379;10,50291066;19,07815714;271,2222222;6,551544715;1,635094554;5,778823926;10,49702454;149,2296296;1,133715925;0,282945903;1,816463813;25,82352941;0,249573898;1,602221308;22,77777778;91,26666667;91,26666667;0,070341423;G
TMS;KBN;0,0197;0,1865;0,09486;0,17458;0,015988235;0,009442105;0,0006;1,966055239;9,467005076;1,068278153;11,66482708;19,75195095;310,8333333;8,861928934;1,840396374;10,91927888;18,48952062;290,9666667;0,811585548;0,168545597;1,693291363;26,64705882;0,207674468;2,086399108;32,83333333;158,1;158,1;0,063545151;G
TMS;KBN;0,0205;0,1754;0,11184;0,17122;0,014823529;0,008484211;0,0006;1,568311874;8,556097561;1,024413036;11,83253968;20,67369727;292,3333333;8,352195122;1,530937053;11,55055556;20,18101737;285,3666667;0,723098996;0,132542287;1,747190191;24,70588235;0,183297568;2,416253102;34,16666667;186,4;186,4;0,070719603;G
TMS;KBN;0,0202;0,2189;0,09294;0,147933333;0,018529412;0,011084211;0,0008;2,355282978;10,83663366;1,479720595;11,81365079;19,74881292;273,625;7,323432343;1,591707912;7,983703704;13,34631212;184,9166667;0,917297612;0,199369612;1,671694319;23,16176471;0,217344523;1,822412156;25,25;116,175;116,175;0,072174739;G
TMS;KBN;0,0192;0,2328;0,0729;0,15582;0,020170588;0,011289474;0,0008;3,193415638;12,125;1,494031575;11,54155731;20,62097902;291;8,115625;2,13744856;7,725109361;13,80223776;194,775;1,050551471;0,276688453;1,786672151;25,21323529;0,263374486;1,700699301;24;91,125;91,125;0,070862471;G
TMS;KBN;0,0196;0,1782;0,11394;0,168606667;0,014452941;0,008826316;0,0006;1,563981043;9,091836735;1,056897711;12,32967033;20,18962433;297;8,602380952;1,479784682;11,66590693;19,10272312;281,0111111;0,737394958;0,126846947;1,6374829;24,08823529;0,172020362;2,220632081;32,66666667;189,9;189,9;0,067978533;G
TMS;KBN;0,0186;0,2007;0,10212;0,160346667;0,015511765;0,009442105;0,0007;1,9653349;10,79032258;1,251663063;12,93856655;21,25585284;286,7142857;8,62078853;1,570178875;10,33710024;16,98208844;229,0666667;0,833965844;0,151897422;1,642829038;22,15966387;0,18213866;1,969899666;26,57142857;145,8857143;145,8857143;0,074136009;G
TMS;KBN;0,0193;0,1579;0,11796;0,183866667;0,012441176;0,007321053;0,0005;1,338589352;8,18134715;0,858774474;12,69172577;21,56793674;315,8;9,526770294;1,55872047;14,77888101;25,11478553;367,7333333;0,644620543;0,105469451;1,699369899;24,88235294;0,163614785;2,636232926;38,6;235,92;235,92;0,06829619;G
TMS;KBN;0,0199;0,2194;0,09132;0,14658;0,019905882;0,0104;0,0008;2,402540517;11,02512563;1,49679356;11,02186761;21,09615385;274,25;7,365829146;1,605124836;7,363652482;14,09423077;183,225;1,000295596;0,217979439;1,914027149;24,88235294;0,217915024;1,913461538;24,875;114,15;114,15;0,076923077;G
TMS;KBN;0,0191;0,1832;0,10728;0,164126667;0,017576471;0,008963158;0,0006;1,707680835;9,591623037;1,116211057;10,42302544;20,4392249;305,3333333;8,593019197;1,529890629;9,337862561;18,31125465;273,5444444;0,920234062;0,163837347;1,960968533;29,29411765;0,178038777;2,13094539;31,83333333;178,8;178,8;0,066940693;G
