Al;Co;Cr;Cu;Fe;Mg;Mn;Na;Ni;NiDailyExtraction
0.08;0.0008;1;0.0008;0.08;0.8;0.0008;7.5;1;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;7.1;1;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;7.1;1;0.53%
0.08;0.0008;0.0008;0.0008;0.08;0.9;0.0008;8.2;2;0.55%
0.08;0.0008;0.0008;0.0008;0.08;0.9;0.0008;8.2;2;0.53%
0.08;0.0008;1;0.0008;0.08;0.8;0.0008;7;2;0.53%
0.08;0.0008;1;0.0008;0.08;0.8;0.0008;7;2;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.4;1;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.4;1;0.56%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.4;1;0.53%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.4;1;0.45%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.2;1;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.2;1;0.51%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.1;0.0008;0.48%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.1;0.0008;0.50%
0.08;0.0008;0.0008;0.0008;0.08;0.9;0.0008;7.2;0.0008;0.52%
0.08;0.0008;0.0008;0.0008;0.08;0.9;0.0008;7.2;0.0008;0.50%
0.08;0.0008;1;0.0008;0.08;0.8;0.0008;7.5;2;0.49%
0.08;0.0008;1;0.0008;0.08;0.8;0.0008;7.5;2;0.48%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.9;1;0.46%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.9;1;0.47%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;1;0.50%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;1;0.48%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;1;0.53%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.7;1;0.42%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.7;1;0.51%
0.08;0.0008;0.0008;0.0008;0.08;0.5;1;3.6;1;0.48%
0.08;0.0008;0.0008;0.0008;0.08;0.5;1;3.6;1;0.48%
0.08;0.0008;1;0.0008;0.08;0.45;0.0008;3.5;0.0015;0.45%
0.08;0.0008;1;0.0008;0.08;0.45;0.0008;3.5;0.0015;0.46%
0.08;0.0008;0.0008;0.0008;0.08;0.2;0.0008;1.9;1;0.47%
0.08;0.0008;0.0008;0.0008;0.08;0.2;0.0008;1.9;1;0.44%
0.08;0.0008;0.0008;0.0008;0.08;0.5;0.0008;4.1;0.0008;0.43%
0.08;0.0008;0.0008;0.0008;0.08;0.7;1;6.6;1;0.41%
0.08;0.0008;1;0.0008;0.08;0.8;1;6.3;3;0.42%
0.08;0.0008;1;0.0008;0.08;0.8;1;6.3;3;0.44%
0.08;0.0008;1;0.0008;0.08;0.8;1;6.3;3;0.44%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.9;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.7;0.0008;6.9;2;0.42%
0.08;0.0008;1;0.0008;0.08;0.7;1;6.2;2;0.39%
0.08;0.0008;1;0.0008;0.08;0.7;1;6.2;2;0.40%
0.08;0.0008;1;0.0008;0.08;0.7;1;6.2;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.75;0.0008;6.9;2;0.39%
0.08;0.0008;0.0008;0.0008;0.08;0.75;0.0008;6.9;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.7;1;6.8;2;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.7;1;6.8;2;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.7;1;6.8;2;0.39%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.9;2;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.9;2;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.6;2;0.33%
