Al;Co;Cr;Cu;Fe;Mg;Mn;Na;Ni;NiDailyExtraction
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.24%
0.08;0.0008;0.0008;0.0008;0.08;0.1;1;0;1;0.25%
0.08;0.0008;0.0008;0.0008;0.08;0.1;1;0;1;0.26%
0.08;0.0008;0.0008;0.0008;0.08;0.1;1;0;1;0.23%
0.08;0.0008;1;0.0008;0.08;0.1;0.0008;0;1;0.23%
0.08;0.0008;1;0.0008;0.08;0.1;0.0008;0;1;0.25%
0.08;0.0008;1;0.0008;0.08;0.1;0.0008;0;1;0.25%
0;0;0;0;0;0;0;0;0;0.08%
0;0;0;0;0;0;0;0;0;0.02%
0;0;0;0;0;0;0;0;0;0.01%
0;0;0;0;0;0;0;0;0;0.01%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.01%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.10%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.10%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.09%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.23%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.26%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.65%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.05%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.03%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.01%
